Word,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5
book,0.0004912773424821254,0.0002852761988221388,0.00036453466140417065,0.0003171611324804744,0.0011628828191319062
boot,0.000491281737428757,0.000285277953765366,0.0011737862213999424,0.0003171641501947321,0.00038687175563584833
border,0.0004912975559649695,0.0007446170720189014,0.0003645422479584061,0.00031716629026145546,0.0003868723934610657
bottlenose,0.000491293815952862,0.0002852820326815134,0.0025253300872894037,0.00031716897559481554,0.0003966360949846471
branch,0.0004914322762446716,0.0010969483309259851,0.003553206291488737,0.0027353209115843764,0.0008925439103353184
brick,0.002955794948047814,0.00028531495075243045,0.00036460012016024696,0.0008546248338789313,0.00038693884944043604
bridal,0.0004913506633114003,0.00028529852449920087,0.00036457514237119996,0.0008624987419398548,0.0008348459958854697
bridge,0.001256808655113359,0.0002853165843597485,0.0022724226657916875,0.000327410927384579,0.0015559003632431678
bridgetunnel,0.0004912775014393938,0.0002852777776949566,0.0003645408601406669,0.0003173172802180608,0.0008533394642990454
bridle,0.0004912686691094867,0.000285274077451403,0.0017349058821269031,0.0003171601919728227,0.0003868616992422484
broadcasting,0.0004912926038226689,0.0007958022716394986,0.000364545526528779,0.00031717548992978424,0.0003868764269283582
broadleaf,0.0004912961987482397,0.0002853010493056798,0.0003645474993877858,0.0011815652575050226,0.001888085302447664
brown,0.0004915466549994466,0.0006037634373355493,0.000983627754521558,0.00123991892958327,0.0010137564585620555
bucket,0.0004912797901368289,0.00028527572532481674,0.001203255715905353,0.00031717071448443497,0.0003868696784914628
buckwheats,0.0004913222941460072,0.00028528465160622564,0.00036532396133292215,0.0008196395714947873,0.0003868850285934441
bugs,0.0004912705070972267,0.002030720905553649,0.0003645316937898163,0.0003171591906708883,0.0003868657330908088
building,0.0004915348176626418,0.0002852675970681819,0.0066022949349011425,0.0003171513352036819,0.0003868502007252247
buildings,0.0004912884692673201,0.0002852810791368386,0.0003653083582456422,0.0008176988856947454,0.00038687143045072216
bulldog,0.0004914483040028069,0.0003041623491770642,0.0003645892076847177,0.00031719603031857263,0.00171904844379311
bus,0.001966837443457903,0.0002852706884916504,0.00036452197742819554,0.00031715445137521427,0.0003868509720598125
butterfly,0.0004912716584217777,0.00028527565851595887,0.0003645329878886728,0.0003171578028043877,0.0011558384020571686
cactus,0.0013252730302584486,0.00028626147645662665,0.00036454711194931164,0.0003171712425675566,0.0003868594941576654
cage,0.0004912822327506209,0.0009417155660386068,0.0003645375652386261,0.0003171642566187354,0.0003868695150515677
california,0.000491334861462417,0.0006633092854200528,0.00036456605287890436,0.000324872210519975,0.0003869116681694684
camel,0.000491289418350276,0.000285570223494569,0.0022204448296591337,0.00032264318687967233,0.00038686947118725764
camelids,0.000491289418350276,0.000285570223494569,0.0022204448296591337,0.00032264318687967233,0.00038686947118725764
camp,0.0004912872958419498,0.00028528089902677035,0.00036453916477306513,0.0003171641117022914,0.0010497999375960727
campfire,0.001365888770117927,0.00028530624397563254,0.0003645853623380525,0.00036674837634071404,0.0003869215386421833
camping,0.0004912872958419498,0.00028528089902677035,0.00036453916477306513,0.0003171641117022914,0.0010497999375960727
canal,0.0004913539544112278,0.0003071415123016576,0.00036457990461187523,0.0003171964053254243,0.0009695125475094392
canidae,0.0005034410761996743,0.0043673203782415276,0.00036457408985577966,0.0003171872146930227,0.000607881728456594
canis,0.0004913205473837203,0.00029473792964696205,0.00036455131013781995,0.00031717445661360737,0.0019887189064596174
canoe,0.0004913539544246263,0.0003071415279996416,0.0003645799046195112,0.00031719640533122876,0.0009695125261960206
canoeing,0.0004912715154923682,0.00118184444856301,0.00036453133498401966,0.0003171639025335952,0.0003868627122530483
cap,0.0004933279370972722,0.00028720128969941133,0.014921690355409984,0.0009589883744329353,0.0003872486404199522
cape,0.0004912736411125217,0.0002852747427734899,0.0003645325739237218,0.00031716155236309444,0.002052343441650725
caprinae,0.0004912953776736405,0.00028563080449823045,0.0008921575449096308,0.0003171660773787305,0.00038687266080342524
caption,0.000492408182707301,0.006655196040831082,0.005378764148673922,0.001999508884380112,0.00041379075068498025
car,0.0004913397461312538,0.003950099102481375,0.0003645685679539218,0.0007516904850288576,0.00038690339569855814
care,0.0004913654604061224,0.002281149389934151,0.00088784615486916,0.0003171961907545004,0.0003869169438814003
caribbean,0.0012242761615128858,0.00028527028291046503,0.0003645257607013127,0.0003171551370693667,0.00038685741614485376
caribou,0.001362814326711625,0.000285275937122804,0.00036734574395520206,0.00031715949588043363,0.0003868618306473005
carnivores,0.0004931171774905901,0.016375622912933527,0.0012365159799818278,0.00031728999835975744,0.0003900922593437378
carnivorous,0.0004912690826841565,0.00028527429873750876,0.0003645302845208966,0.0003171595612592015,0.0009707030338688322
carrying,0.0004913787795766519,0.0007423563711754633,0.0003645935301262526,0.0003498551060719634,0.00038692963284593944
cat,0.0004924602196312031,0.003989118962817897,0.00036452858526198376,0.00031747485157695884,0.00038685837883466184
cave,0.0004915739794382695,0.00028527287066010677,0.00036866691698593556,0.005016143320793254,0.0003868603193187272
caving,0.0004918696567907784,0.0002852731646446053,0.0003679560859760013,0.0030816071203291673,0.00038686035833762156
ceiling,0.0004913525848714278,0.000797744649506905,0.0008980427478376398,0.0003171987676913475,0.0003869197257992205
celestial,0.0012665761477557687,0.0002852985289018167,0.00036456099607904443,0.0008201566203637473,0.00038689150891924306
cephalopod,0.0004914712022207263,0.0004817086768767514,0.00036464486299665977,0.0003172447164831385,0.0006871112573807409
ceremony,0.0011935112269255237,0.0002853142597048141,0.000887554983436988,0.0008366253287525053,0.00038693974881946324
cetaceans,0.0004912564313612386,0.0002852866000280156,0.00036662100498353867,0.0003174350630410709,0.00434358111644089
chair,0.0004913320445599631,0.0002854731554876118,0.0010871683861802194,0.0003171874038942442,0.0015400528155174614
channel,0.0010648271047549388,0.000285345040682867,0.0006286257423260532,0.00031725302661865474,0.0003869895186732579
chaparral,0.0004913586881870096,0.00028530581354324706,0.00036458960048810636,0.000618264948660496,0.0011999731066180178
cheetah,0.0004912680298833868,0.0016128594021589508,0.000364529274416024,0.00031715799500317885,0.00038686023499825387
chicken,0.0004913967302054608,0.00028751432092492883,0.00038227336099495727,0.0003172060958976897,0.0017351504801860157
child,0.0004913071640680021,0.0002856160358376292,0.0073487946260102945,0.001620090520366446,0.0003869066720146186
chimpanzee,0.0024178717227192163,0.00028529233932634906,0.00036454557647913334,0.0003171704051996852,0.00038687850761413015
chordophone,0.0012601927600966476,0.00028526950671050233,0.00036452435411519726,0.0003171650352806756,0.00038685531774574884
choreography,0.0004912828794251689,0.0002852765206720267,0.0003645366670943516,0.0008112180506856865,0.00038686746802020635
city,0.0004917707010376945,0.00028526818439885034,0.0040788920759131575,0.0003171522023908402,0.000386851423527545
cityscape,0.0004912627517780195,0.0002869744314959112,0.003568444536356951,0.00031715760502697013,0.0003868567498071975
classic,0.0004913207189399131,0.0005767330909406524,0.0003645595672930372,0.0003171859737106779,0.00038689364048745086
classical,0.0009234388651188524,0.00028530269513666934,0.0008375001449912417,0.0003172167080712063,0.0003869212398739973
claw,0.0004913519218055803,0.0025324093777837997,0.00036457449736946164,0.0003171921815439773,0.0007845395383047922
